over,batsman,bowler,run,wide,lb,nb,out,out_by
0.1, rahul,prasidh ,1,0,0,0,not out,none
0.2, gayle,prasidh ,0,0,0,0,not out,none
0.3, gayle,prasidh ,6,0,0,0,not out,none
0.4, gayle,prasidh ,0,0,0,0,not out,none
0.5, gayle,prasidh ,4,0,0,0,not out,none
0.6, gayle,prasidh ,0,0,0,0,not out,none
1.1, rahul,ferguson ,0,0,0,0,not out,none
1.2, rahul,ferguson ,0,0,0,0,not out,none
1.3, rahul,ferguson ,0,0,0,0,not out,none
1.4, rahul,ferguson ,0,0,0,0,c,c kuldeep b ferguson
1.5, agarwal,ferguson ,1,0,0,0,not out,none
1.6, gayle,ferguson ,0,0,0,0,not out,none
2.1, agarwal,prasidh ,4,1,0,0,not out,none
2.2, agarwal,prasidh ,4,0,0,0,not out,none
2.3, agarwal,prasidh ,0,0,0,0,not out,none
2.4, agarwal,prasidh ,0,0,0,0,not out,none
2.5, agarwal,prasidh ,0,0,0,0,not out,none
2.6, agarwal,prasidh ,4,0,0,0,not out,none
3.1, gayle,ferguson ,0,0,0,0,not out,none
3.2, gayle,ferguson ,0,0,0,0,not out,none
3.3, gayle,ferguson ,0,1,0,0,not out,none
3.4, gayle,ferguson ,0,0,0,0,not out,none
3.5, gayle,ferguson ,4,0,0,0,not out,none
3.6, gayle,ferguson ,6,0,0,0,not out,none
4.1, agarwal,a russell ,1,0,0,0,not out,none
4.2, gayle,a russell ,0,0,0,0,c,c prasidh b a russell
4.3, sarfaraz khan,a russell ,0,0,0,0,not out,none
4.4, sarfaraz khan,a russell ,4,0,0,0,not out,none
4.5, sarfaraz khan,a russell ,1,0,0,0,not out,none
4.6, agarwal,a russell ,1,0,0,0,not out,none
5.1, agarwal,prasidh ,5,0,0,0,not out,none
5.2, sarfaraz khan,prasidh ,0,0,0,0,not out,none
5.3, sarfaraz khan,prasidh ,0,0,0,0,not out,none
5.4, sarfaraz khan,prasidh ,1,0,0,0,not out,none
5.5, agarwal,prasidh ,1,0,0,0,not out,none
5.6, sarfaraz khan,prasidh ,1,0,0,0,not out,none
6.1, sarfaraz khan,kuldeep yadav ,0,0,0,0,not out,none
6.2, sarfaraz khan,kuldeep yadav ,1,0,0,0,not out,none
6.3, agarwal,kuldeep yadav ,1,0,0,0,not out,none
6.4, sarfaraz khan,kuldeep yadav ,0,0,0,0,not out,none
6.5, sarfaraz khan,kuldeep yadav ,1,0,0,0,not out,none
6.6, agarwal,kuldeep yadav ,1,0,0,0,not out,none
7.1, agarwal,a russell ,1,0,0,0,not out,none
7.2, sarfaraz khan,a russell ,4,0,0,0,not out,none
7.3, sarfaraz khan,a russell ,0,0,0,0,c,c karthik b a russell
7.4, agarwal,a russell ,0,0,0,0,not out,none
7.5, agarwal,a russell ,1,0,0,0,not out,none
7.6, miller,a russell ,0,0,0,0,not out,none
8.1, agarwal,kuldeep yadav ,1,0,0,0,not out,none
8.2, miller,kuldeep yadav ,1,0,0,0,not out,none
